Program,Position,Index
Apple Writer II,1,162.08
VisiCalc,2,114.06
Home Accountant,3,97.38
Miner 2049er,4,76.04
Wizardry,5,71.37
Choplifter,5,71.37
MasterType,7,51.36
PFS: File (Personal Filing System),8,49.36
Multiplan,9,40.02
Ultima II,10,37.35
Frogger,11,36.68
Typing Tutor,12,34.68
Aztec,13,32.68
Castle Wolfenstein,14,32.02
The Arcade Machine,15,28.68
Pinball Construction Set,16,28.01
Screen Writer II,16,28.01
Quick File IIe,16,28.01
Zork,19,26.68
DB Master,20,24.68
Word Handler,21,24.01
PFS: Report,22,21.34
Deadline,23,20.68
Knight of Diamonds,24,20.01
Graphics Magician,24,20.01
WordStar,26,18.68
Tax Preparer,26,18.68
Flight Simulator,28,18.01
Dark Crystal,29,16.67
Facemaker,30,16.01
