Program,Position,Index
Apple Writer IIe,1,193.23
VisiCalc,2,98.44
Bank Street Writer,3,88.35
PFS: File (Personal Filing System),4,85.65
Lode Runner,5,72.16
Zaxxon,6,71.82
Quick File IIe,7,65.08
Home Accountant,8,56.31
Multiplan,9,51.93
MasterType,10,50.24
PFS: Report,11,32.71
Wizardry,12,28.32
Miner 2049er,13,27.31
WordStar,14,26.97
Apple Logo,15,25.96
DOS Boss,16,22.59
BPI General Ledger,17,21.91
Computer SAT,17,21.91
Sensible Speller,19,20.9
Choplifter,20,19.22
Zork,21,17.53
ASCII Express: The Professional,22,16.52
Double-Take,23,15.84
Facemaker,23,15.84
Hard Hat Mack,25,14.83
PFS: Graph,25,14.83
dBase II,27,14.5
Bag of Tricks,27,14.5
Exodus: Ultima III,29,14.16
Arcademic Skill Builders in Math,29,14.16
