Program,Position,Index
VisiCalc,1,95.6
Raster Blaster,2,29.5
Apple Panic,3,27.34
DB Master,4,26.36
PFS: File (Personal Filing System),5,24.98
Gorgon,6,24.19
Sneakers,7,18.88
DOS 3.3,8,18.49
Apple Writer,9,18.29
Epoch,10,17.11
Hi-Res Adventure #3: Cranston Manor,10,17.11
Snoggle,12,14.95
Ultima,12,14.95
Olympic Decathlon,14,14.56
DOS Tool Kit,15,14.36
Pegasus II,16,13.57
Home Money Minder,17,12.79
VisiTrend/VisiPlot,18,11.61
Castle Wolfenstein,18,11.61
BPI General Ledger,20,11.02
Gobbler,21,10.62
Easy Writer,22,10.43
Pool 1.5,23,10.03
Magic Window,23,10.03
VisiDex,25,9.64
Flight Simulator,26,9.05
Robot War,27,8.46
Typing Tutor,28,7.87
Graphtrix,29,7.08
DOS Boss,30,6.88
