Program,Position,Index
Alien Rain (Apple Galaxian),1,99.06
VisiCalc,2,68.56
Flight Simulator,3,45.63
ABM,4,40.43
Hi-Res Adventure #2: The Wizard and the Princess,5,39.96
Hi-Res Adventure #0: Mission: Asteroid,6,31.45
Hi-Res Football,7,26.72
DOS 3.3,8,26.01
Phantoms 5,9,25.06
Dogfight,10,20.81
Hi-Res Adventure #1: Mystery House,11,20.33
Adventure 10: Savage Island,12,19.86
Apple Plot,13,19.15
Sargon II,14,17.97
Typing Tutor,15,17.26
Odyssey,15,17.26
Hellfire Warrior,17,15.37
Cyber Strike,18,14.9
DOS Tool Kit,19,14.42
Bill Budge's Space Album,20,13.48
Super Invader,20,13.48
Planetoids (Asteroids),22,13.0
Lords of Karma,23,12.77
Temple of Apshai,23,12.77
Planet Miners,25,12.29
Data Factory,26,12.06
DB Master,27,11.82
Star Cruiser,28,11.59
Adventure,29,11.11
Bill Budge's 3-D Graphics Package,29,11.11
