Program,Position,Index
Apple Writer IIe,1,144.57
Flight Simulator II,2,96.73
MasterType,3,76.89
PFS: File (Personal Filing System),4,70.51
Lode Runner,5,68.38
Apple Logo,6,66.97
PFS:Write,7,62.71
Quick File IIe,8,59.17
Bank Street Writer,9,57.75
Home Accountant,10,52.44
Multiplan,11,49.96
Julius Erving and Larry Bird Go One-on-One,12,48.19
PFS: Report,13,46.41
HomeWord,14,44.64
Word Juggler IIe,15,44.29
Wizardry,16,43.93
Zaxxon,17,43.23
Dollars and Sense,17,43.23
Typing Tutor,19,38.62
Sensible Speller,20,37.56
Exodus: Ultima III,21,35.08
Zork,22,33.66
Global Program Line Editor,23,32.95
Zoom Grafix,24,32.24
Music Construction Set,25,31.52
Pinball Construction Set,26,31.18
Legacy of Llylgamyn,27,30.82
Choplifter,28,30.47
Sargon III,29,29.75
Early Games for Young Children,30,28.34
