Program,Position,Index
VisiCalc,1,171.81
Home Accountant,2,96.49
Snack Attack,3,95.11
Wizardry,4,80.87
PFS: File (Personal Filing System),5,79.83
Apple Writer II,6,59.01
DB Master,7,56.92
Star Blazer,8,51.37
A2-PB1 Pinball: Night Mission,9,46.86
VisiFile,10,44.08
Castle Wolfenstein,11,42.0
PFS: Report,12,38.88
VisiTrend/VisiPlot,13,37.83
Zoom Grafix,13,37.83
Apple Panic,15,36.1
WordStar,16,32.28
MasterType,17,31.93
Bag of Tricks,17,31.93
Swashbuckler,19,29.16
Taxman,20,28.46
Gorgon,21,27.07
Microwave,22,25.69
SuperText II,23,24.3
David's Midnight Magic,24,23.26
BPI General Ledger,25,21.52
Kabul Spy,25,21.52
Raster Blaster,27,20.13
Personal Finance Manager,28,19.78
Crossfire,29,18.74
Typing Tutor,30,18.05
