Program,Position,Index
VisiCalc,1,185.81
Superscribe II,2,89.74
PFS: File (Personal Filing System),3,86.81
Snack Attack,4,84.86
Wizardry,5,76.57
VisiFile,6,72.18
David's Midnight Magic,7,68.77
Home Accountant,8,68.28
DB Master,9,61.45
VisiTrend/VisiPlot,10,59.01
Apple Panic,11,54.13
Sneakers,12,53.65
Castle Wolfenstein,13,51.7
Apple Writer,14,46.82
Personal Finance Manager,15,43.41
BPI General Ledger,16,38.53
Flight Simulator,17,38.04
Gorgon,18,35.6
Ultima,19,33.65
Raster Blaster,19,33.65
Hi-Res Adventure #4: Ulysses and the Golden Fleece,21,33.16
Tax Preparer,22,31.7
Olympic Decathlon,23,31.21
Bug Attack,24,30.24
Falcons,25,28.77
Utility City,25,28.77
DOS Tool Kit,27,28.29
Beer Run,28,27.31
WordStar,28,27.31
Zork II,30,24.39
