Program,Position,Index
AppleWorks,1,145.99
Flight Simulator II,2,98.27
Bank Street Writer,3,43.17
PFS: File (Personal Filing System),4,40.33
Apple Writer IIe,5,38.05
PFS:Write,6,35.78
MasterType,7,33.51
Julius Erving and Larry Bird Go One-on-One,8,30.67
Word Juggler IIe,9,25.56
Music Construction Set,10,24.99
Lode Runner,11,23.29
Wizardry,12,23.26
Home Accountant,13,21.58
Dollars and Sense,14,21.52
Typing Tutor,15,19.31
Sensible Speller,16,19.31
Zoom Grafix,17,18.95
Beyond Castle Wolfenstein,18,18.74
PFS: Report,19,18.71
ASCII Express: The Professional,20,18.59
Zork,21,18.17
Apple Logo,22,17.98
Multiplan,23,15.9
Quick File IIe,24,15.33
HomeWord,25,14.76
Bank Street Speller,26,14.2
Pinball Construction Set,27,14.17
Graphics Magician,28,13.06
DiskQuik,29,13.03
Exodus: Ultima III,30,13.0
