Program,Position,Index
VisiCalc,1,97.76
DB Master,2,70.57
PFS: File (Personal Filing System),3,64.74
Gorgon,4,62.47
Apple Panic,5,62.15
VisiTrend/VisiPlot,6,55.35
Personal Finance Manager,7,46.61
Sneakers,8,44.35
VisiFile,9,42.73
Olympic Decathlon,10,42.4
Raster Blaster,11,42.08
Snoggle,12,41.43
Apple Writer,13,38.2
WordStar,14,37.55
Snack Attack,15,37.23
Graphtrix,15,37.23
Typing Tutor,17,36.58
BPI General Ledger,18,36.25
Wizardry,19,35.61
Castle Wolfenstein,20,35.28
DOS 3.3,21,31.08
Threshold,22,29.13
Superscribe II,23,27.84
Bug Attack,24,26.87
Flight Simulator,25,25.9
Ultima,26,24.92
Epoch,27,24.6
DOS Tool Kit,27,24.6
Pegasus II,27,24.6
Hi-Res Adventure #3: Cranston Manor,30,23.63
