Program,Position,Index
Apple Writer IIe,1,177.36
Bank Street Writer,2,97.87
MasterType,3,83.63
Wizardry,4,81.82
PFS:Write,5,80.52
Lode Runner,6,76.9
PFS: File (Personal Filing System),7,74.83
Legacy of Llylgamyn,8,68.87
Exodus: Ultima III,9,64.47
Home Accountant,10,55.67
VisiCalc,11,51.52
Zaxxon,12,51.0
Quick File IIe,13,49.71
Knight of Diamonds,14,41.42
Choplifter,15,36.25
Multiplan,16,35.21
The Incredible Jack,17,31.33
Apple Logo,18,31.07
Typing Tutor,19,29.51
The Quest,20,28.74
Sensible Speller,20,28.74
Sargon III,22,26.92
PFS: Report,23,25.89
Zork,24,24.08
Miner 2049er,25,22.78
Ultima II,26,21.23
Early Games for Young Children,27,20.71
Computer SAT,27,20.71
Frogger,29,19.67
Facemaker,30,19.16
Dollars and Sense,30,19.16
