Program,Position,Index
Apple Writer II,1,199.87
VisiCalc,2,130.06
PFS: File (Personal Filing System),3,92.67
Home Accountant,4,81.86
Choplifter,5,72.3
Miner 2049er,6,71.47
Frogger,7,48.2
Wizardry,8,45.71
Quick File IIe,9,42.39
Multiplan,10,36.98
PFS: Report,11,27.84
Ultima II,12,26.59
Word Handler,13,25.76
Screen Writer II,14,24.52
Aztec,14,24.52
Castle Wolfenstein,16,24.1
MasterType,17,23.69
Pinball Construction Set,18,22.85
The Mask of the Sun,19,22.02
BPI General Ledger,20,21.19
Zork,21,20.78
Early Games for Young Children,22,19.53
General Ledger,23,18.7
WordStar,24,17.04
DOS Boss,25,16.21
DB Master,26,14.13
Flight Simulator,27,13.71
Zork II,27,13.71
PFS: Graph,29,13.3
Deadline,30,12.88
