Program,Position,Index
Apple Writer IIe,1,176.05
Bank Street Writer,2,97.43
PFS: File (Personal Filing System),3,88.02
VisiCalc,4,80.88
MasterType,5,68.79
Quick File IIe,6,64.95
Legacy of Llylgamyn,7,62.81
Multiplan,8,55.12
Lode Runner,9,47.86
Home Accountant,10,47.0
PFS: Report,11,44.44
Wizardry,12,40.59
Exodus: Ultima III,13,38.88
Zaxxon,14,37.6
Typing Tutor,15,36.32
PFS:Write,16,35.46
Apple Logo,17,33.33
Choplifter,18,29.91
Computer SAT,19,25.63
Beagle Basic,20,25.21
Sensible Speller,21,23.93
Early Games for Young Children,22,23.07
Music Construction Set,23,22.22
PFS: Graph,24,21.79
Apple Mechanic,25,20.51
Double-Take,26,19.65
Knight of Diamonds,27,18.37
Zork,28,17.94
Rocky's Boots,28,17.94
ASCII Express: The Professional,30,16.66
