Program,Position,Index
Apple Writer IIe,1,109.71
Flight Simulator II,2,97.39
Bank Street Writer,3,78.43
MasterType,4,78.2
PFS: File (Personal Filing System),5,74.64
Lode Runner,6,71.8
PFS:Write,7,68.72
Wizardry,8,60.9
Quick File IIe,9,56.4
Home Accountant,10,54.97
Typing Tutor,11,48.58
Zaxxon,12,44.07
Apple Logo,13,43.12
Julius Erving and Larry Bird Go One-on-One,14,42.89
Choplifter,15,42.41
Legacy of Llylgamyn,16,41.94
PFS: Report,16,41.94
Multiplan,18,38.62
Zork,19,38.15
Miner 2049er,20,36.25
Zork II,21,33.88
Knight of Diamonds,22,33.17
Zork III,23,32.22
VisiCalc,24,30.56
Exodus: Ultima III,25,26.77
Sargon III,26,24.64
Computer SAT,26,24.64
Sensible Speller,28,24.4
Snooper Troops I,29,23.22
Castle Wolfenstein,29,23.22
Dollars and Sense,29,23.22
