Program,Position,Index
VisiCalc,1,171.82
Choplifter,2,146.32
PFS: File (Personal Filing System),3,99.15
Apple Writer II,4,67.86
Wizardry,5,64.49
Screen Writer II,6,56.31
Home Accountant,7,50.54
The Arcade Machine,8,45.24
Word Handler,9,43.32
Snack Attack,10,35.62
Knight of Diamonds,11,34.65
Serpentine,12,28.88
DB Master,12,28.88
VisiFile,14,25.51
VisiTrend/VisiPlot,14,25.51
Cannonball Blitz,16,24.55
PFS: Report,17,24.07
BPI General Ledger,18,23.58
Star Blazer,19,23.1
MasterType,19,23.1
Super-Text 40-56-70,19,23.1
Magic Window,22,22.62
Transcend,23,19.73
BPI Accounts Receivable,24,19.25
PFS: Graph,24,19.25
A2-PB1 Pinball: Night Mission,26,18.77
Seafox,27,18.29
Castle Wolfenstein,28,17.33
DOS Boss,29,16.85
Zoom Grafix,30,16.36
