Program,Position,Index
VisiCalc,1,92.96
Gorgon,2,70.08
Hi-Res Adventure #3: Cranston Manor,3,56.94
Raster Blaster,4,56.46
Apple Panic,5,55.0
DB Master,6,40.88
Snoggle,7,36.02
Ultima,8,33.1
Sneakers,9,32.61
Robot War,10,30.66
Pool 1.5,11,30.18
Space Eggs,12,26.28
VisiTrend/VisiPlot,13,25.8
Flight Simulator,14,23.85
Gobbler,15,23.36
Apple Writer,16,22.87
VisiDex,17,22.39
DOS 3.3,18,19.47
PFS: File (Personal Filing System),19,18.98
Star Thief,20,17.03
Olympic Decathlon,21,16.55
Hi-Res Adventure #2: The Wizard and the Princess,22,16.06
Typing Tutor,23,13.63
Computer Baseball,24,13.14
The Complete Graphics System,24,13.14
Graphtrix,24,13.14
Sargon II,27,12.65
Space Warrior,27,12.65
Epoch,29,11.68
Expediter II,29,11.68
