Program,Position,Index
VisiCalc,1,99.44
Hi-Res Adventure #2: The Wizard and the Princess,2,82.53
Bill Budge's 3-D Graphics Package,3,71.76
Flight Simulator,4,70.74
Apple Plot,5,61.0
Asteroids in Space,6,55.36
Sargon II,7,52.8
Bill Budge's Space Album,8,44.08
Odyssey,9,30.24
Hi-Res Adventure #1: Mystery House,10,29.73
Galactic Empire,11,27.68
Computer Bismarck,12,27.17
Typing Tutor,13,25.12
Easy Writer,14,24.6
Rescue at Rigel,15,24.09
Temple of Apshai,16,23.58
Computer Quarterback,17,22.55
CCA Data Management System,18,22.04
Wilderness Campaign,19,21.53
B-1 Nuclear Bomber,20,21.02
Head On,21,20.5
Adventure,21,20.5
Galactic Revolution,21,20.5
Cosmos Mission,24,19.99
Morloc's Tower,24,19.99
Computer Ambush,26,19.48
Apple Writer,27,18.97
Data Factory,28,17.94
Midway Campaign,29,17.43
Programming Aids 3.3,30,16.92
