Program,Position,Index
Raster Blaster,1,90.99
Gorgon,2,89.29
VisiCalc,3,87.01
Pool 1.5,4,81.89
Expediter II,5,76.77
Robot War,6,72.79
Apple Panic,7,64.83
Ultima,8,49.48
Hi-Res Adventure #3: Cranston Manor,9,47.2
Snoggle,9,47.2
DB Master,11,46.06
Space Eggs,12,44.93
DOS 3.3,12,44.93
VisiTrend/VisiPlot,14,44.36
Hi-Res Adventure #2: The Wizard and the Princess,15,42.65
Flight Simulator,16,40.95
Gobbler,17,40.38
VisiDex,17,40.38
DOS Tool Kit,19,38.1
Alien Rain (Apple Galaxian),20,36.4
Pulsar II,21,30.15
Computer Baseball,22,29.57
Space Warrior,22,29.57
PFS: File (Personal Filing System),24,29.0
Warp Factor,25,28.44
Typing Tutor,26,27.3
The Complete Graphics System,27,25.59
Asteroid Field,27,25.59
Dragon Fire,27,25.59
Oo Topos: An Extraterrestrial Adventure,27,25.59
