Program,Position,Index
VisiCalc,1,119.18
Choplifter,2,118.48
Wizardry,3,99.32
Frogger,4,95.14
Home Accountant,5,82.59
PFS: File (Personal Filing System),6,72.48
Ultima II,7,71.79
Miner 2049er,8,62.03
Screen Writer II,9,57.15
Snack Attack,10,48.09
The Arcade Machine,11,38.33
Aztec,12,35.2
Word Handler,13,34.15
MasterType,14,33.45
Castle Wolfenstein,15,31.01
Cannonball Blitz,16,31.01
Apple Writer II,17,30.67
AppleWriter II Pre-Boot Disk,18,30.67
Serpentine,19,30.32
Zork,20,30.32
Knight of Diamonds,21,29.97
Deadline,22,27.53
Early Games for Young Children,23,27.53
DB Master,24,27.18
Star Blazer,25,25.79
Ernie's Quiz,26,24.05
The Mask of the Sun,27,23.7
Zork II,28,20.91
Multiplan,29,20.21
Zork III,30,19.51
Mix & Match,31,19.51
