Program,Position,Index
Choplifter,1,189.96
VisiCalc,2,173.2
Screen Writer II,3,99.73
Knight of Diamonds,4,88.84
Wizardry,5,87.16
Home Accountant,6,78.78
PFS: File (Personal Filing System),7,69.84
Snack Attack,8,62.86
DB Master,9,50.28
Bag of Tricks,10,43.58
Bandits,11,37.15
Marauder,12,36.04
A2-PB1 Pinball: Night Mission,13,35.2
Star Blazer,14,34.08
Apple Writer II,15,32.96
Castle Wolfenstein,16,32.69
Cannonball Blitz,17,32.41
WordStar,18,30.45
PFS: Report,19,29.33
VisiTrend/VisiPlot,20,28.77
Taxman,21,27.66
MasterType,22,24.02
VisiFile,23,23.19
Magic Window,24,22.91
Swashbuckler,25,22.63
Apple Panic,26,22.07
Apple Speller,27,21.51
DOS Boss,28,18.44
Utility City,29,17.32
BPI General Ledger,29,17.32
