Program,Position,Index
Apple Writer IIe,1,176.36
MasterType,2,98.77
Home Accountant,3,92.85
PFS: File (Personal Filing System),4,88.8
PFS:Write,5,84.44
Flight Simulator II,6,73.84
Bank Street Writer,7,66.37
Quick File IIe,8,64.5
Lode Runner,9,56.71
Zork,10,48.29
Zaxxon,11,47.67
PFS: Report,12,44.87
Typing Tutor,13,43.62
VisiCalc: Advanced Version,14,43.0
Multiplan,15,42.06
Wizardry,16,40.5
Apple Logo,17,34.89
Choplifter,18,33.96
Legacy of Llylgamyn,19,33.34
HomeWord,20,28.66
Dollars and Sense,21,28.04
Word Juggler IIe,22,25.86
Julius Erving and Larry Bird Go One-on-One,23,24.92
Miner 2049er,24,23.99
VisiCalc,25,22.12
Math Blaster,26,20.25
Frogger,27,19.94
Tax Advantage,28,18.69
Exodus: Ultima III,28,18.69
Sensible Speller,28,18.69
