Program,Position,Index
Choplifter,1,137.15
VisiCalc,2,131.99
Miner 2049er,3,99.11
Home Accountant,4,92.53
Wizardry,5,75.15
PFS: File (Personal Filing System),6,74.68
Frogger,7,67.17
Ultima II,8,52.61
Aztec,9,49.79
Screen Writer II,10,45.09
Apple Writer IIe,11,44.62
Apple Writer II,12,40.39
Multiplan,13,39.45
The Arcade Machine,14,35.23
MasterType,15,31.0
Knight of Diamonds,16,29.59
Castle Wolfenstein,17,26.3
Pinball Construction Set,18,24.32
Mix & Match,19,23.01
Crisis Moutain,20,22.08
Zork,21,21.61
Snack Attack,21,21.61
VisiFile,23,21.14
WordStar,23,21.14
Transend 2,25,19.73
Early Games for Young Children,26,19.26
The Mask of the Sun,27,15.97
DB Master,28,15.03
General Ledger,29,14.56
Story Machine,29,14.56
