Program,Position,Index
VisiCalc,1,213.62
Olympic Decathlon,2,98.48
PFS: File (Personal Filing System),3,97.31
Snack Attack,4,88.78
Gorgon,5,84.52
Typing Tutor,6,79.87
Castle Wolfenstein,7,74.44
Personal Finance Manager,8,66.68
Sneakers,9,57.77
Apple Writer,10,54.67
Raster Blaster,11,54.28
DB Master,12,51.95
Beer Run,13,51.18
Superscribe II,14,49.24
Wizardry,15,45.75
DOS Tool Kit,15,45.75
Tax Preparer,17,44.59
Apple Panic,18,43.81
Bug Attack,19,42.65
Magic Window,20,40.32
VisiTrend/VisiPlot,21,39.93
VisiFile,22,39.6
Home Money Minder,22,39.6
Threshold,22,39.6
Space Eggs,25,30.63
Snoggle,26,29.86
WordStar,27,28.69
Super Disk Copy (III),28,26.37
DOS 3.3,29,25.59
Pegasus II,30,25.2
