Program,Position,Index
Raster Blaster,1,97.53
Pool 1.5,2,61.48
Gorgon,3,50.12
VisiCalc,4,46.66
Flight Simulator,5,38.52
DOS 3.3,6,31.6
Space Eggs,7,29.38
Hi-Res Adventure #2: The Wizard and the Princess,8,29.13
Sabotage,9,26.17
Alien Rain (Apple Galaxian),10,24.2
Typing Tutor,11,23.7
Olympic Decathlon,12,23.46
Robot War,13,22.22
Pulsar II,14,21.48
Autobahn,15,20.74
Snoggle,16,19.51
DB Master,17,19.26
Oribitron,18,17.78
Gobbler,19,17.53
DOS Tool Kit,19,17.53
Zork,21,17.04
Ultima,22,16.79
Hi-Res Adventure #1: Mystery House,23,16.3
Apple Writer,24,14.81
Asteroid Field,24,14.81
Gamma Goblins,26,14.32
VisiTrend/VisiPlot,27,13.83
Warp Factor,27,13.83
VisiDex,29,13.09
Missile Defense,30,12.84
