Program,Position,Index
Space Eggs,1,99.56
VisiCalc,2,95.45
Raster Blaster,3,76.36
Snoggle,4,55.8
DB Master,5,55.22
Alien Rain (Apple Galaxian),6,51.69
Flight Simulator,7,49.05
Hi-Res Adventure #2: The Wizard and the Princess,8,42.88
Warp Factor,9,39.65
DOS 3.3,10,37.89
Zork,11,31.72
Sargon II,12,30.25
ABM,13,29.66
Typing Tutor,14,29.37
DOS Tool Kit,15,27.02
Hi-Res Adventure #0: Mission: Asteroid,16,26.43
Apple Plot,17,23.79
Olympic Decathlon,17,23.79
Data Capture 4.0,19,22.03
Apple Writer,19,22.03
SuperText II,21,19.09
The Prisoner,21,19.09
Creature Venture,23,18.8
Asteroid Field,24,18.5
Alien Typhoon,24,18.5
BPI General Ledger,26,17.92
Hi-Res Adventure #1: Mystery House,26,17.92
PFS: File (Personal Filing System),28,17.33
Phantoms 5,29,16.74
Apple PIE,30,14.69
