Program,Position,Index
VisiCalc,1,112.42
Wizardry,2,95.34
Superscribe II,3,69.25
PFS: File (Personal Filing System),4,67.45
Snack Attack,5,62.06
Home Accountant,6,58.91
DB Master,7,52.61
BPI General Ledger,8,49.47
VisiTrend/VisiPlot,9,47.67
David's Midnight Magic,10,45.87
VisiFile,11,44.52
Castle Wolfenstein,12,44.07
Gorgon,13,38.67
Star Blazer,14,33.73
Twerps,15,32.83
Personal Finance Manager,16,31.93
Track Attack,17,30.58
Apple Panic,18,27.88
Horizon V,18,27.88
Magic Window,20,27.43
DOS Tool Kit,21,26.98
Utility City,22,26.08
Olympic Decathlon,23,25.63
Sneakers,24,25.18
Bug Attack,25,24.73
Typing Tutor,26,24.28
Zoom Grafix,27,22.93
Data Factory,28,21.58
DOS Boss,29,21.13
Apple Writer,30,20.24
WordStar,30,20.24
