Program,Position,Index
AppleWorks,1,144.83
Flight Simulator II,2,96.37
Bank Street Writer,3,80.09
Apple Writer IIe,4,72.15
PFS: File (Personal Filing System),5,51.61
Beyond Castle Wolfenstein,6,50.03
PFS:Write,7,47.39
MasterType,8,46.34
PFS: Report,9,41.07
Home Accountant,10,40.02
Julius Erving and Larry Bird Go One-on-One,11,38.97
Dollars and Sense,12,30.54
Lode Runner,13,29.49
Typing Tutor,14,26.85
Bank Street Speller,15,24.22
Barron's SAT,16,23.17
HomeWord,17,22.99
FlashCalc,18,22.11
Legacy of Llylgamyn,19,21.06
Print Shop,20,20.53
Wizardry,21,19.48
ProDOS User's Kit,22,18.95
Zork,23,18.43
Death in the Caribbean,24,17.9
Graphics Magician,25,17.37
Music Construction Set,26,16.32
Castle Wolfenstein,27,15.79
Enchanter,28,15.75
Multiplan,29,14.74
VisiCalc,30,14.21
Sorcerer,30,14.21
