Program,Position,Index
Choplifter,1,202.9
VisiCalc,2,150.43
PFS: File (Personal Filing System),3,98.73
Wizardry,4,94.07
Screen Writer II,5,90.18
Snack Attack,6,70.35
Home Accountant,7,68.8
Apple Writer II,8,64.15
Knight of Diamonds,9,62.19
DB Master,10,50.14
Star Blazer,11,38.48
A2-PB1 Pinball: Night Mission,12,38.09
Cannonball Blitz,12,38.09
Castle Wolfenstein,14,36.15
PFS: Report,15,30.71
VisiTrend/VisiPlot,16,29.93
Taxman,17,29.15
BPI General Ledger,18,28.76
VisiFile,19,27.99
Bandits,20,25.65
MasterType,21,24.1
Bag of Tricks,21,24.1
WordStar,23,23.71
Transcend,24,21.77
Data Capture 4.0,25,20.99
Word Handler,26,20.6
Utility City,27,20.21
PFS: Graph,28,19.82
Swashbuckler,29,19.05
Marauder,30,18.66
