Program,Position,Index
Space Eggs,1,98.55
VisiCalc,2,79.36
Alien Rain (Apple Galaxian),3,63.31
Zork,4,60.16
Sargon II,5,44.12
Flight Simulator,6,41.54
Warp Factor,7,40.11
Phantoms 5,8,38.39
Puckman,9,38.1
Hi-Res Adventure #2: The Wizard and the Princess,10,36.67
DB Master,11,34.66
Typing Tutor,12,33.23
DOS 3.3,13,32.94
Adventure 10: Savage Island,14,30.94
ABM,15,28.07
Missile Defense,16,23.2
Cyber Strike,17,21.77
Apple Writer,18,20.05
DOS Tool Kit,19,19.48
Hellfire Warrior,20,17.47
Apple Plot,21,16.33
Apple PIE,22,15.75
The Prisoner,23,15.47
Planetoids (Asteroids),23,15.47
Creature Venture,25,14.89
Dogfight,26,14.61
Hi-Res Cribbage,26,14.61
Adventure,28,14.03
|3-Pack (Datesones of Ryn, Morloc's Tower, Rescue at Rigel)|,29,12.89
Asteroid Field,30,12.03
