Program,Position,Index
VisiCalc,1,152.92
Choplifter,2,139.94
PFS: File (Personal Filing System),3,97.62
Home Accountant,4,87.04
Screen Writer II,5,84.15
Apple Writer II,6,74.06
Wizardry,7,58.19
The Arcade Machine,8,56.74
DB Master,9,47.13
Starcross,10,30.3
VisiFile,11,26.93
PFS: Report,11,26.93
VisiTrend/VisiPlot,13,26.45
Cannonball Blitz,14,24.52
Word Handler,15,22.12
Frogger,16,21.64
Knight of Diamonds,16,21.64
Star Blazer,18,20.68
Graphics Magician,18,20.68
Zork,20,19.24
The Complete Graphics System,21,17.79
MasterType,22,17.31
BPI General Ledger,23,16.35
Apple Logo,23,16.35
Accounting Plus,25,14.43
Deadline,25,14.43
Zork II,27,13.95
WordStar,27,13.95
Personal Finance Manager,29,13.46
Transcend,29,13.46
Snack Attack,29,13.46
