Program,Position,Index
Apple Writer IIe,1,192.24
VisiCalc,2,98.76
Home Accountant,3,81.13
Choplifter,4,68.28
Miner 2049er,5,61.22
PFS: File (Personal Filing System),6,60.47
Multiplan,7,60.22
Wizardry,8,53.66
Quick File IIe,9,52.66
MasterType,10,36.28
Bank Street Writer,11,30.49
Frogger,12,28.47
Typing Tutor,13,27.71
Flight Simulator,14,26.71
Aztec,15,24.44
Screen Writer II,15,24.44
Castle Wolfenstein,17,21.67
PFS: Report,18,21.16
BPI General Ledger,19,20.16
Ultima II,20,19.65
Super-Text Pro,21,19.4
Pinball Construction Set,22,19.15
The Mask of the Sun,23,18.9
Early Games for Young Children,24,17.89
Apple Logo,25,16.88
Mix & Match,26,16.63
Snooper Troops I,27,16.38
Graphics Magician,28,16.12
Suspended,28,16.12
Zork,30,14.61
