Program,Position,Index
Choplifter,1,214.57
VisiCalc,2,150.49
PFS: File (Personal Filing System),3,99.38
Wizardry,4,98.57
Screen Writer II,5,95.73
Apple Writer II,6,85.18
Home Accountant,7,66.52
Snack Attack,8,60.44
DB Master,9,58.0
Knight of Diamonds,10,56.78
Star Blazer,11,45.02
MasterType,12,42.99
Cannonball Blitz,13,41.78
Escape from Rungistan,14,39.35
PFS: Report,15,35.29
Castle Wolfenstein,16,33.26
Transcend,17,27.58
WordStar,18,25.96
PFS: Graph,19,23.93
BPI General Ledger,20,22.71
Taxman,21,21.09
Bandits,21,21.09
Personal Finance Manager,23,20.28
Swashbuckler,24,19.47
VisiTrend/VisiPlot,25,19.06
Serpentine,26,17.04
Marauder,27,15.82
Ultima,27,15.82
Word Handler,27,15.82
The Arcade Machine,27,15.82
DOS Boss,27,15.82
