Program,Position,Index
Alien Rain (Apple Galaxian),1,91.81
VisiCalc,2,88.86
Hi-Res Adventure #2: The Wizard and the Princess,3,47.56
Apple Plot,4,37.24
ABM,5,35.03
Flight Simulator,6,34.66
Phantoms 5,6,34.66
Hi-Res Adventure #0: Mission: Asteroid,8,33.93
Typing Tutor,9,31.71
Hi-Res Football,10,28.02
DOS 3.3,11,26.92
DB Master,12,24.7
Super Invader,13,23.23
Hi-Res Adventure #1: Mystery House,14,21.01
Adventure 10: Savage Island,15,20.65
DOS Tool Kit,15,20.65
Hellfire Warrior,17,20.28
Sargon II,18,19.91
Cyber Strike,19,19.17
Adventure,20,18.8
Dogfight,21,18.07
Bill Budge's 3-D Graphics Package,22,15.49
Data Factory,23,15.12
Temple of Apshai,23,15.12
Star Cruiser,25,14.01
Akalabeth,26,12.9
Odyssey,27,12.54
Bill Budge's Space Album,28,12.17
Star Warrior,28,12.17
Reversal,30,11.8
