Program,Position,Index
VisiCalc,1,201.2
PFS: File (Personal Filing System),2,98.45
Home Accountant,3,87.51
Snack Attack,4,83.21
Wizardry,5,71.88
Star Blazer,6,62.9
Tax Preparer,7,60.55
Castle Wolfenstein,8,59.38
DB Master,9,56.65
David's Midnight Magic,10,51.96
VisiFile,11,47.27
Apple Panic,12,44.54
PFS: Report,12,44.54
VisiTrend/VisiPlot,14,42.58
Superscribe II,15,41.8
BPI General Ledger,16,38.28
WordStar,17,37.5
Gorgon,18,30.86
BPI Accounts Receivable,19,30.47
Swashbuckler,20,28.91
Raster Blaster,20,28.91
Magic Window,20,28.91
Jawbreaker,23,25.0
Crossfire,23,25.0
Time Zone,25,24.22
Personal Finance Manager,25,24.22
MasterType,27,23.83
Flight Simulator,27,23.83
Track Attack,29,23.44
Twerps,29,23.44
