Program,Position,Index
VisiCalc,1,99.97
DB Master,2,45.34
Raster Blaster,3,33.78
Epoch,4,29.02
Apple Panic,5,27.66
Sneakers,5,27.66
Snoggle,7,26.98
Apple Writer,8,26.07
Ultima,9,24.94
DOS Tool Kit,10,23.8
Wizardry,11,23.35
VisiTrend/VisiPlot,12,22.9
PFS: File (Personal Filing System),13,22.22
Castle Wolfenstein,14,21.54
Gobbler,15,19.27
Hi-Res Adventure #3: Cranston Manor,16,18.82
Gorgon,17,17.0
DOS 3.3,18,16.55
Flight Simulator,19,16.32
Pegasus II,19,16.32
VisiDex,21,14.74
Typing Tutor,22,14.51
Graphtrix,23,14.06
Home Money Minder,24,13.15
Personal Finance Manager,25,12.92
Robot War,26,12.69
Olympic Decathlon,27,12.47
Falcons,28,12.24
Space Quarks,29,12.02
Magic Window,30,11.11
