Program,Position,Index
VisiCalc,1,133.32
Knight of Diamonds,2,99.7
Snack Attack,3,62.5
Wizardry,4,60.71
A2-PB1 Pinball: Night Mission,5,58.63
Star Blazer,6,55.06
PFS: File (Personal Filing System),7,52.68
DB Master,8,51.19
Apple Writer II,9,48.81
Home Accountant,10,45.24
Choplifter,11,40.18
Swashbuckler,12,30.65
PFS: Report,13,26.78
Cannonball Blitz,14,26.78
Castle Wolfenstein,15,26.49
Taxman,16,25.3
Deadline,17,23.21
Bag of Tricks,18,22.02
VisiTrend/VisiPlot,19,19.94
David's Midnight Magic,20,19.64
MasterType,21,19.34
Apple Panic,22,18.15
Time Zone,23,17.86
BPI General Ledger,24,17.26
Kabul Spy,25,16.96
Jawbreaker,26,16.39
Zork II,27,16.39
Zoom Grafix,28,15.77
Magic Window,29,15.48
Data Capture 4.0,30,14.58
