Program,Position,Index
Alien Rain (Apple Galaxian),1,97.22
VisiCalc,2,69.44
Flight Simulator,3,53.42
Hi-Res Adventure #2: The Wizard and the Princess,4,45.58
Super Invader,5,41.66
Dogfight,6,39.17
Hi-Res Football,7,37.03
Sargon II,8,34.9
Star Cruiser,8,34.9
Cyber Strike,10,33.12
DOS 3.3,11,32.05
Asteroids in Space,12,31.69
Apple Plot,13,30.97
Bill Budge's Space Album,14,27.78
Hellfire Warrior,15,26.35
Data Factory,16,25.99
DOS Tool Kit,17,25.28
Typing Tutor,18,24.57
Odyssey,19,23.5
ABM,20,23.15
Adventure,21,19.59
Computer Quarterback,22,19.23
CCA Data Management System,23,18.87
Hi-Res Adventure #1: Mystery House,24,18.16
Temple of Apshai,25,17.09
Bill Budge's 3-D Graphics Package,26,16.38
Planetoids (Asteroids),26,16.38
Easy Writer,28,15.67
Planet Miners,28,15.67
Apple Writer,30,15.31
