Program,Position,Index
VisiCalc,1,97.34
Hi-Res Adventure #2: The Wizard and the Princess,2,60.43
Star Cruiser,3,52.39
Flight Simulator,4,50.01
CCA Data Management System,5,40.19
Bill Budge's Space Album,6,38.7
Asteroids in Space,7,37.21
DOS Tool Kit,8,35.72
Hellfire Warrior,9,31.26
Apple Plot,10,30.96
Dogfight,11,27.68
Computer Quarterback,12,25.6
Galactic Empire,13,24.11
Odyssey,14,23.81
Super Invader,15,23.52
Sargon II,16,22.92
Temple of Apshai,16,22.92
Easy Writer,18,22.62
Data Factory,19,22.32
Bill Budge's 3-D Graphics Package,19,22.32
Typing Tutor,21,22.03
Galactic Trader,22,20.24
Hi-Res Adventure #1: Mystery House,23,19.94
Ghost Town: Adventure #9,24,17.26
Adventure,25,16.97
Galactic Revolution,26,16.67
Rescue at Rigel,27,16.37
Planetoids (Asteroids),28,16.08
SuperText II,29,14.88
Wilderness Campaign,30,14.29
