Program,Position,Index
Apple Writer IIe,1,191.47
VisiCalc,2,97.72
PFS: File (Personal Filing System),3,91.9
Zaxxon,4,89.45
Quick File IIe,5,85.78
Multiplan,6,59.74
Home Accountant,7,59.43
Bank Street Writer,8,58.82
MasterType,9,56.98
Lode Runner,10,56.06
PFS: Report,11,41.35
Wizardry,12,39.21
Miner 2049er,13,35.53
Hard Hat Mack,14,31.24
Choplifter,15,26.95
Double-Take,16,24.2
DOS Boss,16,24.2
Apple Mechanic,18,23.89
Computer SAT,19,23.58
Apple Logo,20,23.28
WordStar,21,21.75
Early Games for Young Children,22,19.91
Sensible Speller,23,18.99
Zork,24,18.38
ASCII Express: The Professional,24,18.38
Castle Wolfenstein,26,18.08
Typing Tutor,27,17.76
In Search of the Most Amazing Thing,28,15.62
Knight of Diamonds,29,14.7
Apple Mechanic Typefaces,30,13.17
Copy II Plus,30,13.17
Pronto DOS,30,13.17
