Program,Position,Index
Raster Blaster,1,96.45
VisiCalc,2,84.21
Space Eggs,3,55.24
DB Master,4,51.06
Snoggle,5,47.48
DOS 3.3,6,45.69
Hi-Res Adventure #2: The Wizard and the Princess,6,45.69
Pool 1.5,8,41.21
Alien Rain (Apple Galaxian),9,39.71
Zork,10,37.92
Sabotage,11,37.03
Flight Simulator,12,35.83
Olympic Decathlon,13,33.14
Pulsar II,14,26.58
Warp Factor,15,25.98
Space Raiders,16,25.38
Autobahn,17,23.88
Alien Typhoon,18,23.59
DOS Tool Kit,19,22.99
Missile Defense,20,22.4
Sargon II,21,21.5
ABM,22,19.11
Hi-Res Adventure #1: Mystery House,23,17.62
Hi-Res Adventure #0: Mission: Asteroid,24,17.32
Planetoids (Asteroids),25,15.83
Data Capture 4.0,26,15.53
Typing Tutor,27,14.63
SuperText II,28,14.03
BPI General Ledger,29,13.14
Super Disk Copy (III),30,12.84
The Prisoner,30,12.84
