Program,Position,Index
VisiCalc,1,94.06
Flight Simulator,2,87.5
Bill Budge's Space Album,3,79.06
Sargon II,4,62.5
Odyssey,5,61.56
Adventure,6,60.62
Hi-Res Adventure #1: Mystery House,7,56.25
Typing Tutor,8,51.25
Temple of Apshai,9,46.56
Bill Budge's Trilogy,10,44.38
Morloc's Tower,11,44.06
Head On,12,43.44
Rescue at Rigel,13,43.13
Datestones of Ryn,14,41.88
CCA Data Management System,14,41.88
Super Invader,16,40.31
Wilderness Campaign,17,37.81
Bill Budge's 3-D Graphics Package,18,37.5
Easy Writer,19,36.25
Asteroids in Space,20,33.75
Computer Bismarck,21,33.44
Apple Writer,22,31.88
Gammon Gambler,23,31.88
Scot Adams Adventures,24,31.25
Computer Ambush,25,29.69
Tuesday Night Football,26,28.44
Apple-Doc,27,24.06
Tranquility Base,28,24.06
Apple Plot,29,22.5
The Controller,29,22.5
