Program,Position,Index
Flight Simulator II,1,98.88
AppleWorks,2,86.92
MasterType,3,82.14
Apple Writer IIe,4,64.99
Bank Street Writer,5,64.19
PFS:Write,6,58.21
PFS: File (Personal Filing System),7,54.22
Julius Erving and Larry Bird Go One-on-One,8,50.24
Lode Runner,9,48.64
Wizardry,10,37.08
PFS: Report,11,36.28
Word Juggler IIe,12,33.89
Typing Tutor,13,29.56
Home Accountant,14,28.7
Zork,15,27.11
Apple Logo,16,26.71
Music Construction Set,17,25.91
HomeWord,18,25.51
Sensible Speller,18,25.51
Quick File IIe,20,23.52
Multiplan,21,21.93
Dollars and Sense,21,21.93
Silicon Salad,23,21.13
PFS: Graph,24,20.73
Beagle Basic,25,19.93
Exodus: Ultima III,26,19.53
Legacy of Llylgamyn,27,19.13
ASCII Express: The Professional,28,18.74
DiskQuik,28,18.74
Choplifter,30,18.34
