Program,Position,Index
Apple Writer IIe,1,160.47
Legacy of Llylgamyn,2,96.37
Lode Runner,3,86.04
VisiCalc,4,67.11
MasterType,5,63.67
Exodus: Ultima III,6,63.24
Bank Street Writer,7,61.52
Quick File IIe,8,60.66
PFS: File (Personal Filing System),9,58.94
Zaxxon,10,56.35
Home Accountant,11,44.31
Multiplan,12,43.45
Sensible Speller,13,31.83
PFS: Report,14,31.4
Typing Tutor,15,27.1
Wizardry,16,25.81
Apple Logo,16,25.81
Magic Window II,18,24.52
WordStar,19,24.09
Word Handler,20,23.23
Zork,21,21.94
Choplifter,21,21.94
Castle Wolfenstein,23,21.51
Early Games for Young Children,24,21.08
Miner 2049er,25,20.22
Bag of Tricks,26,18.49
Zoom Grafix,27,18.06
DOS Boss,27,18.06
Apple Pascal,29,17.63
BPI General Ledger,30,17.2
