Program,Position,Index
VisiCalc,1,98.07
DOS 3.3,2,74.85
Star Cruiser,3,70.05
Hi-Res Adventure #2: The Wizard and the Princess,4,59.36
Flight Simulator,5,50.88
Cyber Strike,6,49.04
Super Invader,7,44.98
Dogfight,8,42.03
Apple Plot,9,39.45
Data Factory,10,38.34
Hellfire Warrior,11,37.97
Asteroids in Space,12,36.13
DOS Tool Kit,13,33.18
Hi-Res Football,14,32.45
CCA Data Management System,15,31.71
Odyssey,16,30.6
Sargon II,17,29.86
Temple of Apshai,18,28.76
Rescue at Rigel,19,28.39
Bill Budge's Space Album,20,28.02
Apple Writer,21,26.17
Adventure,22,25.81
Akalabeth,23,22.12
Morloc's Tower,24,19.91
Datestones of Ryn,25,18.43
Planetoids (Asteroids),25,18.43
Computer Quarterback,27,17.7
Easy Writer,27,17.7
Apple Adventure,29,16.6
Bill Budge's 3-D Graphics Package,30,16.22
