Program,Position,Index
Apple Writer IIe,1,116.96
Lode Runner,2,97.73
MasterType,3,65.29
Bank Street Writer,4,54.74
Home Accountant,5,46.19
Wizardry,6,44.19
PFS: File (Personal Filing System),7,43.52
Zaxxon,8,42.59
Quick File IIe,9,36.05
Flight Simulator II,10,35.91
Choplifter,11,34.98
Zork,12,32.71
PFS:Write,13,31.91
Knight of Diamonds,14,31.24
Legacy of Llylgamyn,15,30.84
Typing Tutor,16,30.44
Apple Logo,17,29.1
VisiCalc,18,28.04
Zork II,19,28.04
Miner 2049er,19,28.04
Zork III,21,27.5
PFS: Report,22,27.23
Music Construction Set,23,25.63
Exodus: Ultima III,24,25.36
Ultima II,24,25.36
Multiplan,26,24.7
Pinball Construction Set,27,23.76
Hard Hat Mack,28,22.96
HomeWord,29,21.36
Sensible Speller,29,21.36
Computer SAT,29,21.36
