Program,Position,Index
Apple Writer IIe,1,167.91
Zaxxon,2,97.68
PFS: File (Personal Filing System),3,92.09
VisiCalc,4,70.7
MasterType,5,56.51
Multiplan,6,55.81
Home Accountant,7,50.7
Miner 2049er,8,44.65
PFS: Report,9,43.49
Bank Street Writer,10,39.53
Choplifter,11,37.67
Quick File IIe,12,35.58
Wizardry,13,30.69
Typing Tutor,14,25.58
Apple Logo,15,22.32
WordStar,16,20.69
Frogger,17,18.37
Hard Hat Mack,18,17.67
PFS: Graph,19,16.28
Stickybear ABC,20,15.11
Double-Take,21,14.88
ASCII Express: The Professional,22,14.41
Zork,23,13.72
Ernie's Quiz,24,13.02
Castle Wolfenstein,25,12.79
Apple Mechanic,26,12.09
BPI General Ledger,26,12.09
DOS Boss,26,12.09
Ultima II,29,11.62
Utility City,30,11.16
Flight Simulator,30,11.16
